N_move,T_move_ms,T_coh_s,R_control
50,0.05,10.0,0.00025
50,0.1,10.0,0.0005
50,0.25,10.0,0.00125
50,0.5,10.0,0.0025
50,1.0,10.0,0.005
100,0.05,10.0,0.0005
100,0.1,10.0,0.001
100,0.25,10.0,0.0025
100,0.5,10.0,0.005
100,1.0,10.0,0.01
200,0.05,10.0,0.001
200,0.1,10.0,0.002
200,0.25,10.0,0.005
200,0.5,10.0,0.01
200,1.0,10.0,0.02
500,0.05,10.0,0.0025
500,0.1,10.0,0.005
500,0.25,10.0,0.0125
500,0.5,10.0,0.025
500,1.0,10.0,0.05
1000,0.05,10.0,0.005
1000,0.1,10.0,0.01
1000,0.25,10.0,0.025
1000,0.5,10.0,0.05
1000,1.0,10.0,0.1
2000,0.05,10.0,0.01
2000,0.1,10.0,0.02
2000,0.25,10.0,0.05
2000,0.5,10.0,0.1
2000,1.0,10.0,0.2
4000,0.05,10.0,0.02
4000,0.1,10.0,0.04
4000,0.25,10.0,0.1
4000,0.5,10.0,0.2
4000,1.0,10.0,0.4
