distance,optimized,adiabatic,noisy
0.0,1.0,1.0,1.0
0.01,0.9999984075713177,0.9999988,0.9999747617062208
0.02,0.9999963415595846,0.9999966058874503,0.9999459005329755
0.03,0.9999940487869643,0.9999937646170928,0.9999154928663199
0.04,0.9999915951110259,0.9999904,0.9998840352538115
0.05,0.9999890143945669,0.999986583592135,0.9998517731101786
0.06,0.9999863277027513,0.999982363673852,0.9998188549934532
0.07,0.9999835495554232,0.999977775688987,0.999785381163886
0.08,0.999980690635723,0.9999728470996024,0.9997514241248909
0.09,0.9999777591693796,0.9999676,0.9997170388891852
0.1,0.9999747617062208,0.999962052668078,0.9996822687061103
0.11,0.9999717035982115,0.9999562205527673,0.9996471485186809
0.12,0.9999685893092828,0.999950116936742,0.9996117071782245
0.13,0.9999654226254691,0.9999437534001028,0.9995759689309016
0.14,0.9999622068027514,0.9999371401559022,0.9995399544537853
0.15,0.9999589446742648,0.9999302862997682,0.9995036815997661
0.16,0.9999556387300381,0.9999232,0.9994671659472628
0.17,0.9999522911775989,0.9999158886452374,0.9994304212149954
0.18,0.9999489039889051,0.9999083589611583,0.9993934595809979
0.19,0.9999454789372807,0.9999006171040873,0.99935629193211
0.2,0.9999420176269058,0.99989266873708,0.9993189280619834
0.21,0.999938521516661,0.9998845190924871,0.9992813768302871
0.22,0.9999349919396266,0.9998761730239406,0.9992436462922112
0.23,0.9999314301191923,0.9998676350499566,0.9992057438049151
0.24,0.9999278371824877,0.9998589093908157,0.9991676761158551
0.25,0.9999242141716744,0.99985,0.9991294494367039
0.26,0.9999205620535124,0.9998409105911759,0.9990910695056989
0.27,0.9999168817275201,0.9998316446615043,0.9990525416406077
0.28,0.999913174032981,0.9998222055118965,0.999013870784018
0.29,0.999909439754994,0.9998125962647118,0.9989750615423014
0.3,0.9999056796297284,0.9998028198792981,0.9989361182193217
0.31,0.9999018943490091,0.9997928791657027,0.9988970448457499
0.32,0.9998980845643383,0.9997827767968195,0.9988578452046812
0.33,0.999894250890437,0.9997725153191971,0.9988185228541226
0.34,0.9998903939083781,0.9997620971626903,0.9987790811468167
0.35000000000000003,0.9998865141683662,0.9997515246491098,0.9987395232477853
0.36,0.9998826121922167,0.9997408,0.9986998521499157
0.37,0.999878688475571,0.9997299253436548,0.9986600706878539
0.38,0.9998747434898833,0.9997189027214646,0.9986201815504299
0.39,0.9998707776842085,0.999707734093675,0.9985801872918068
0.4,0.9998667914868157,0.9996964213446239,0.9985400903415113
0.41000000000000003,0.999862785306647,0.9996849662875184,0.9984998930134855
0.42,0.9998587595346414,0.9996733706688002,0.9984595975142759
0.43,0.9998547145449385,0.999661636172146,0.9984192059504607
0.44,0.999850650695975,0.9996497644221385,0.998378720335402
0.45,0.9998465683314873,0.999637756987645,0.9983381425953987
0.46,0.9998424677814277,0.9996256153849314,0.998297474575306
0.47000000000000003,0.9998383493628064,0.9996133410805373,0.998256718043677
0.48,0.9998342133804634,0.9996009354939361,0.9982158746974769
0.49,0.9998300601277813,0.9995884,0.9981749461664141
0.5,0.9998258898873408,0.9995757359312881,0.9981339340169264
0.51,0.9998217029315271,0.9995629445801731,0.9980928397558546
0.52,0.9998174995230908,0.9995500272008221,0.9980516648338362
0.53,0.9998132799156685,0.9995369850110417,0.9980104106484434
0.54,0.9998090443542644,0.9995238191940029,0.9979690785470904
0.55,0.9998047930756994,0.9995105308998516,0.9979276698297296
0.56,0.9998005263090284,0.9994971212472176,0.9978861857513577
0.5700000000000001,0.9997962442759295,0.9994835913246275,0.9978446275243461
0.58,0.999791947191067,0.9994699421918318,0.9978029963206116
0.59,0.9997876352624305,0.9994561748810509,0.997761293273642
0.6,0.9997833086916527,0.9994422903981461,0.9977195194803864
0.61,0.999778967674306,0.9994282897237237,0.9976776760030229
0.62,0.9997746124001817,0.9994141738141735,0.9976357638706143
0.63,0.9997702430535517,0.9993999436026505,0.9975937840806571
0.64,0.9997658598134133,0.9993856,0.9975517376005375
0.65,0.9997614628537212,0.9993711438956328,0.9975096253688959
0.66,0.9997570523436053,0.9993565761583528,0.9974674482969111
0.67,0.9997526284475748,0.9993418976371414,0.9974252072695082
0.68,0.9997481913257125,0.9993271091618992,0.9973829031464957
0.6900000000000001,0.9997437411338563,0.9993122115441504,0.9973405367636374
0.7000000000000001,0.9997392780237735,0.9992972055777114,0.9972981089336646
0.71,0.9997348021433218,0.9992820920393254,0.9972556204472302
0.72,0.9997303136366054,0.9992668716892658,0.997213072073812
0.73,0.9997258126441201,0.9992515452719102,0.9971704645625661
0.74,0.9997212993028926,0.9992361135162866,0.9971277986431345
0.75,0.9997167737466115,0.999220577136594,0.9970850750264107
0.76,0.9997122361057525,0.9992049368326982,0.9970422944052656
0.77,0.9997076865076966,0.999189193290605,0.996999457455235
0.78,0.9997031250768429,0.9991733471829117,0.9969565648351735
0.79,0.9996985519347158,0.9991573991692385,0.9969136171878749
0.8,0.9996939672000672,0.99914134989664,0.9968706151406627
0.81,0.9996893709889734,0.9991252,0.9968275593059505
0.8200000000000001,0.9996847634149278,0.9991089501024073,0.9967844502817769
0.8300000000000001,0.9996801445889296,0.9990926008155172,0.9967412886523139
0.84,0.999675514619567,0.9990761527398969,0.9966980749883521
0.85,0.9996708736130991,0.9990596064653561,0.9966548098477622
0.86,0.9996662216735316,0.9990429625712648,0.9966114937759372
0.87,0.9996615589026906,0.9990262216268575,0.9965681273062122
0.88,0.9996568854002932,0.9990093841915253,0.9965247109602681
0.89,0.999652201264014,0.9989924508150964,0.9964812452485143
0.9,0.99964750658955,0.9989754220381054,0.9964377306704576
0.91,0.9996428014706822,0.9989582983920527,0.9963941677150527
0.92,0.999638085999334,0.9989410803996526,0.9963505568610392
0.93,0.9996333602656287,0.9989237685750731,0.996306898577264
0.9400000000000001,0.9996286243579428,0.9989063634241668,0.9962631933229893
0.9500000000000001,0.999623878362959,0.9988888654446918,0.996219441548189
0.96,0.9996191223657155,0.9988712751265255,0.9961756436938323
0.97,0.9996143564496545,0.9988535929518709,0.9961318001921559
0.98,0.9996095806966679,0.9988358193954545,0.996087911466925
0.99,0.9996047951871421,0.9988179549247174,0.9960439779336847
1.0,0.9996,0.9988,0.996
