N_sites,filling_fraction,N_atoms
500,0.35,175.0
500,0.5,250.0
500,0.65,325.0
500,0.8,400.0
500,0.9,450.0
1000,0.35,350.0
1000,0.5,500.0
1000,0.65,650.0
1000,0.8,800.0
1000,0.9,900.0
2000,0.35,700.0
2000,0.5,1000.0
2000,0.65,1300.0
2000,0.8,1600.0
2000,0.9,1800.0
4000,0.35,1400.0
4000,0.5,2000.0
4000,0.65,2600.0
4000,0.8,3200.0
4000,0.9,3600.0
6000,0.35,2100.0
6000,0.5,3000.0
6000,0.65,3900.0
6000,0.8,4800.0
6000,0.9,5400.0
8000,0.35,2800.0
8000,0.5,4000.0
8000,0.65,5200.0
8000,0.8,6400.0
8000,0.9,7200.0
12000,0.35,4200.0
12000,0.5,6000.0
12000,0.65,7800.0
12000,0.8,9600.0
12000,0.9,10800.0
